iter	Passed	Remaining
581	5033	3615
582	5043	3607
583	5051	3598
584	5059	3589
585	5068	3581
586	5076	3571
587	5085	3563
588	5093	3554
589	5102	3545
590	5109	3536
591	5118	3527
592	5126	3518
593	5133	3509
594	5142	3500
595	5149	3490
596	5157	3481
597	5166	3472
598	5174	3463
599	5182	3455
600	5190	3445
601	5199	3437
602	5207	3428
603	5215	3419
604	5223	3410
605	5231	3401
606	5239	3392
607	5247	3383
608	5255	3374
609	5264	3365
610	5272	3356
611	5280	3347
612	5288	3338
613	5296	3329
614	5304	3320
615	5312	3311
616	5321	3303
617	5329	3294
618	5337	3285
619	5345	3276
620	5353	3267
621	5363	3259
622	5371	3250
623	5379	3241
624	5388	3232
625	5396	3224
626	5404	3215
627	5413	3206
628	5422	3198
629	5430	3189
630	5438	3180
631	5446	3171
632	5454	3162
633	5462	3153
634	5470	3144
635	5478	3135
636	5487	3126
637	5495	3117
638	5503	3108
639	5511	3100
640	5519	3091
641	5527	3082
642	5535	3073
643	5543	3064
644	5551	3055
645	5559	3046
646	5567	3037
647	5576	3028
648	5584	3020
649	5592	3011
650	5600	3002
651	5608	2993
652	5616	2984
653	5624	2975
654	5633	2967
655	5641	2958
656	5650	2949
657	5658	2940
658	5666	2931
659	5674	2923
660	5682	2914
661	5690	2905
662	5699	2896
663	5707	2888
664	5715	2879
665	5723	2870
666	5734	2863
667	5742	2854
668	5750	2845
669	5759	2836
670	5768	2828
671	5776	2819
672	5785	2810
673	5792	2801
674	5801	2793
675	5809	2784
676	5817	2775
677	5825	2766
678	5834	2758
679	5842	2749
680	5850	2740
681	5858	2731
682	5865	2722
683	5874	2713
684	5882	2705
685	5890	2696
686	5898	2687
687	5906	2678
688	5914	2669
689	5922	2660
690	5930	2652
691	5938	2643
692	5945	2634
693	5954	2625
694	5962	2616
695	5972	2608
696	5981	2600
697	5988	2591
698	5997	2582
699	6006	2574
700	6015	2565
701	6023	2556
702	6031	2548
703	6039	2539
704	6048	2530
705	6056	2522
706	6064	2513
707	6072	2504
708	6081	2495
709	6089	2487
710	6097	2478
711	6105	2469
712	6115	2461
713	6123	2452
714	6131	2444
715	6139	2435
716	6147	2426
717	6155	2417
718	6163	2408
719	6171	2399
720	6179	2391
721	6187	2382
722	6195	2373
723	6203	2364
724	6211	2356
725	6219	2347
726	6227	2338
727	6235	2329
728	6244	2321
729	6252	2312
730	6260	2303
731	6268	2294
732	6276	2286
733	6284	2277
734	6292	2268
735	6300	2260
736	6308	2251
737	6316	2242
738	6324	2233
739	6331	2224
740	6339	2215
741	6348	2207
742	6356	2198
743	6364	2189
744	6372	2181
745	6380	2172
746	6389	2163
747	6397	2155
748	6405	2146
749	6413	2137
750	6421	2129
751	6429	2120
752	6437	2111
753	6445	2103
754	6453	2094
755	6461	2085
756	6469	2076
757	6477	2068
758	6485	2059
759	6493	2050
760	6501	2041
761	6509	2033
762	6518	2024
763	6526	2016
764	6534	2007
765	6543	1998
766	6551	1990
767	6558	1981
768	6566	1972
769	6574	1963
770	6582	1955
771	6590	1946
772	6598	1937
773	6607	1929
774	6615	1920
775	6623	1911
776	6630	1903
777	6639	1894
778	6646	1885
779	6655	1877
780	6663	1868
781	6671	1859
782	6679	1851
783	6689	1842
784	6697	1834
785	6705	1825
786	6713	1816
787	6721	1808
788	6728	1799
789	6740	1791
790	6748	1783
791	6756	1774
792	6764	1765
793	6771	1756
794	6781	1748
795	6789	1740
796	6798	1731
797	6805	1722
798	6813	1714
799	6821	1705
800	6829	1696
801	6837	1688
802	6845	1679
803	6853	1670
804	6861	1662
805	6870	1653
806	6878	1644
807	6886	1636
808	6894	1627
809	6902	1619
810	6910	1610
811	6918	1601
812	6926	1593
813	6935	1584
814	6943	1576
815	6952	1567
816	6962	1559
817	6970	1550
818	6978	1542
819	6987	1533
820	6995	1525
821	7003	1516
822	7012	1508
823	7019	1499
824	7027	1490
825	7036	1482
826	7044	1473
827	7053	1465
828	7061	1456
829	7069	1448
830	7078	1439
831	7086	1430
832	7094	1422
833	7102	1413
834	7110	1405
835	7118	1396
836	7126	1387
837	7134	1379
838	7142	1370
839	7150	1361
840	7157	1353
841	7166	1344
842	7174	1336
843	7182	1327
844	7190	1318
845	7198	1310
846	7206	1301
847	7214	1293
848	7222	1284
849	7230	1276
850	7238	1267
851	7247	1258
852	7255	1250
853	7263	1241
854	7272	1233
855	7279	1224
856	7287	1216
857	7295	1207
858	7303	1198
859	7311	1190
860	7319	1181
861	7327	1173
862	7335	1164
863	7344	1156
864	7352	1147
865	7360	1138
866	7368	1130
867	7377	1121
868	7384	1113
869	7392	1104
870	7400	1096
871	7408	1087
872	7416	1078
873	7424	1070
874	7432	1061
875	7441	1053
876	7449	1044
877	7457	1036
878	7465	1027
879	7473	1019
880	7481	1010
881	7490	1002
882	7498	993
883	7506	984
884	7514	976
885	7522	967
886	7530	959
887	7539	950
888	7546	942
889	7555	933
890	7563	925
891	7571	916
892	7579	908
893	7587	899
894	7595	891
895	7603	882
896	7611	873
897	7618	865
898	7626	856
899	7634	848
900	7642	839
901	7650	831
902	7658	822
903	7667	814
904	7675	805
905	7683	797
906	7691	788
907	7699	780
908	7707	771
909	7715	763
910	7724	754
911	7732	746
912	7744	737
913	7753	729
914	7762	721
915	7773	712
916	7783	704
917	7793	696
918	7803	687
919	7811	679
920	7820	670
921	7828	662
922	7837	653
923	7845	645
924	7853	636
925	7861	628
926	7869	619
927	7877	611
928	7886	602
929	7894	594
930	7902	585
931	7910	577
932	7919	568
933	7927	560
934	7936	551
935	7945	543
936	7954	534
937	7962	526
938	7971	517
939	7980	509
940	7987	500
941	7996	492
942	8005	483
943	8013	475
944	8021	466
945	8030	458
946	8038	449
947	8047	441
948	8055	432
949	8063	424
950	8071	415
951	8079	407
952	8087	398
953	8096	390
954	8103	381
955	8111	373
956	8120	364
957	8128	356
958	8136	347
959	8145	339
960	8152	330
961	8161	322
962	8168	313
963	8176	305
964	8184	296
965	8193	288
966	8201	279
967	8209	271
968	8217	262
969	8224	254
970	8232	245
971	8240	237
972	8248	228
973	8257	220
974	8266	211
975	8274	203
976	8282	194
977	8292	186
978	8300	178
979	8308	169
980	8316	161
981	8324	152
982	8332	144
983	8340	135
984	8348	127
985	8357	118
986	8365	110
987	8373	101
988	8381	93
989	8389	84
990	8398	76
991	8406	67
992	8414	59
993	8421	50
994	8430	42
995	8438	33
996	8446	25
997	8454	16
998	8462	8
999	8471	0
